term,replacement
Continuous noise,Continuous noise
Correlated noise,Correlated noise
Documentation noise,Documentation noise
Electric noise,Electric noise
Electrochemical noise,Electrochemical noise
Electromagnetic noise,Electromagnetic noise
External noise,External noise
Background noise,Background noise
Gallop sound,Gallop sound
Gaussian noise,Gaussian noise
Generation recombination noise,Generation recombination noise
Shot noise,Shot noise
Hydrodynamic noise,Hydrodynamic noise
Impact noise,Impact noise
Pulse noise,Pulse noise
Industrial noise,Industrial noise
Internal noise,Internal noise
Intermittent noise,Intermittent noise
Wide band noise,Wide band noise
Modal noise,Modal noise
Modulation noise,Modulation noise
Frequency modulation noise,Frequency modulation noise
Multiplicative noise,Multiplicative noise
Non correlated noise,Non correlated noise
Non gaussian noise,Non gaussian noise
Normal noise,Normal noise
Oceanic noise,Oceanic noise
Parasitic noise,Parasitic noise
Partition noise,Partition noise
Phase noise,Phase noise
Photographic noise,Photographic noise
Photon noise,Photon noise
Quantization noise,Quantization noise
Quantum noise,Quantum noise
Breath sound,Breath sound
Stationary noise,Stationary noise
Thermal noise,Thermal noise
Traffic noise,Traffic noise
Turbulence noise,Turbulence noise
Visual noise,Visual noise
Burning,Burning
Controlled burning,Controlled burning
Prescribed burning,Controlled burning
Burner,Burner
Blown air burner,Blown air burner
Bunsen burner,Bunsen burner
Calefaction burner,Calefaction burner
Liquid fuel burner,Liquid fuel burner
Solid fuel burner,Solid fuel burner
Gas burner,Gas burner
Gasification burner,Gasification burner
High velocity burner,High velocity burner
Submerged burner,Submerged burner
Injection burner,Injection burner
Jet burner,Jet burner
Dual fuel burner,Dual fuel burner
Pilot burner,Pilot burner
Multifuel burner,Multifuel burner
Afterburner,Afterburner
Spray burner,Spray burner
Radiant burner,Radiant burner
Recuperative burner,Recuperative burner
Rotary burner,Rotary burner
Flameless burner,Flameless burner
Transpiration burner,Transpiration burner
Tunnel burner,Tunnel burner
Swirl burner,Swirl burner
Ultrasonic burner,Ultrasonic burner
Vaporizing burner,Vaporizing burner
Burned ground,Burned ground
Burn,Burn
Chemical burn,Chemical burn
Electrical burn,Electrical burn
Haze,Haze
Acid mist,Acid mist
Brunei Darussalam,Brunei Darussalam
Brunei,Brunei Darussalam
Brunelliaceae,Brunelliaceae
Bruniaceae,Bruniaceae
Burnishing,Burnishing
Browning,Browning
Enzymic browning,Enzymic browning
enzymatic browning,Enzymic browning
Brunoniaceae,Brunoniaceae
Equity oil,Equity oil
Buy back crude,Buy back crude
Sudden,Sudden
Bruxism,Bruxism
Bryndza,Bryndza
Bryobia,Bryobia
Tetranychidae,Tetranychidae
Bryostatin 1,Bryostatin 1
Bryozoa,Bryozoa
Polyzoa,Bryozoa
Bubalus bubalis,Bubalus bubalis
Bubo virginianus,Bubo virginianus
Bubulcus ibis,Bubulcus ibis
Bucainide,Bucainide
Buccinidae,Buccinidae
Orocutaneous,Orocutaneous
Oronasal,Oronasal
Orosinusal,Orosinusal
Bucephala albeola,Bucephala albeola
Bucephala clangula,Bucephala clangula
Bucetin,Bucetin
Shive,Shive
Buchloe dactyloides,Buchloe dactyloides
Buchnera,Buchnera
Buchnera aphidicola,Buchnera aphidicola
Buciclate,Buciclate
Buciclovir,Buciclovir
Bucillamine,Bucillamine
Bucindolol,Bucindolol
Bucladesine,Bucladesine
Buclizine,Buclizine
Histabutizine,Buclizine
Buclosamide,Buclosamide
Bucolome,Bucolome
Bucricaine,Bucricaine
Bucrilate,Bucrilate
Bucromarone,Bucromarone
Bucumolol,Bucumolol
Budd-Chiari syndrome,Budd-Chiari syndrome
Budd Chiari syndrome,Budd-Chiari syndrome
Buddleja,Buddleja
Buddlejaceae,Buddlejaceae
Budesonide,Budesonide
Budget,Budget
Energy budget,Energy budget
Time budget,Time budget
Budipine,Budipine
Budotitane,Budotitane
Budralazine,Budralazine
Bufadienolide,Bufadienolide
Bufenadrine,Bufenadrine
Bufeniode,Bufeniode
Diiodobuphenine,Bufeniode
Bufetolol,Bufetolol
Bufuronol,Bufetolol
Bufexamac,Bufexamac
Bufezolac,Bufezolac
Buffing,Buffing
Buffalo,Buffalo
Buflomedil,Buflomedil
Bufo americanus,Bufo americanus
Bufonidae,Bufonidae
Bufo arenarum,Bufo arenarum
Bufo boreas,Bufo boreas
Bufo bufo,Bufo bufo
Bufo calamita,Bufo calamita
Bufo japonicus japonicus,Bufo japonicus japonicus
Bufo marinus,Bufo marinus
Bufo viridis,Bufo viridis
Bufogenin,Bufogenin
Buformin,Buformin
Butylbiguanide,Buformin
Glybigide,Buformin
Bufrolin,Bufrolin
Bufuralol,Bufuralol
Bulaquine,Bulaquine
Bulb,Bulb
Duodenal bulb,Duodenal bulb
Galactic bulge,Galactic bulge
Jugular bulb,Jugular bulb
Olfactory bulb,Olfactory bulb
Pressure bulb,Pressure bulb
Medulla oblongata,Medulla oblongata
Bulbil,Bulbil
Bulbogastrone,Bulbogastrone
Bulgarian,Bulgarian
Bulgaria,Bulgaria
Bulgur,Bulgur
Bulimia Cognitive Distortion Scale,Bulimia Cognitive Distortion Scale
Bulimia Test Smith Thelen,Bulimia Test Smith Thelen
Bulimic Investigatory Test Edinburgh,Bulimic Investigatory Test Edinburgh
Bulimic Thoughts Questionnaire,Bulimic Thoughts Questionnaire
Bulinus,Bulinus
Bulinus globosus,Bulinus globosus
Bulinus tropicus,Bulinus tropicus
Bulinus truncatus,Bulinus truncatus
Bulla gouldiana,Bulla gouldiana
Bubble,Bubble
Air bubble,Air bubble
Cavitation bubble,Cavitation bubble
Separation bubble,Separation bubble
Interstellar bubble,Interstellar bubble
Magnetic bubble,Magnetic bubble
Suction blister,Suction blister
Blebectomy,Blebectomy
Bullera,Bullera
Severe weather warning,Severe weather warning
Abstract journal,Abstract journal
Bibliographic journal,Bibliographic journal
Contents list bulletin,Contents list bulletin
Bumadizone,Bumadizone
Bumecaine,Bumecaine
Bumepidil,Bumepidil
Bumetanide,Bumetanide
Bumetrizole,Bumetrizole
Bunaftine,Bunaftine
Bunamidine,Bunamidine
Bunamiodyl,Bunamiodyl
Buniodyl,Bunamiodyl
Bunamijodylum,Bunamiodyl
Bunaprolast,Bunaprolast
Bunapsilate,Bunapsilate
Bunazosin,Bunazosin
Bunching,Bunching
Bungalow,Bungalow
Bunitrolol,Bunitrolol
Bunolol,Bunolol
Bunostomum phlebotomum,Bunostomum phlebotomum
Bunyaviridae,Bunyaviridae
Bunyavirus,Bunyavirus
Buparvaquone,Buparvaquone
Buphenine,Buphenine
Nylidrinum,Buphenine
Nylidrin,Buphenine
Phenyl-butyl-norsuprifene,Buphenine
Buphthalmia,Buphthalmia
Bupicomide,Bupicomide
Bupivacaine,Bupivacaine
Bupranolol,Bupranolol
Bupranol,Bupranolol
Buprenorphine,Buprenorphine
Buprestidae,Buprestidae
Bupropion,Bupropion
Amfebutamone,Bupropion
Buquineran,Buquineran
Buquinolate,Buquinolate
Buchinolatum,Buquinolate
Buquiterine,Buquiterine
Buramate,Buramate
Office,Office
Engineering firm,Engineering firm
Landscape office,Landscape office
Post office,Post office
Bureaucratism,Bureaucratism
Office automation,Office automation
Burkholderia,Burkholderia
Burkholderia caryophylli,Burkholderia caryophylli
Pseudomonas caryophylli,Burkholderia caryophylli
Burkholderia cepacia,Burkholderia cepacia
Pseudomonas kingii,Burkholderia cepacia
Pseudomonas multivorans,Burkholderia cepacia
Pseudomonas cepacia,Burkholderia cepacia
Burkholderia glumae,Burkholderia glumae
Pseudomonas glumae,Burkholderia glumae
Burkholderia mallei,Burkholderia mallei
Actinobacillus mallei,Burkholderia mallei
Pseudomonas mallei,Burkholderia mallei
Burkholderia pseudomallei,Burkholderia pseudomallei
Pseudomonas pseudomallei,Burkholderia pseudomallei
Burkina Faso,Burkina Faso
Burmanniaceae,Burmanniaceae
Burnett syndrome,Burnett syndrome
Burnout Inventory Maslach,Burnout Inventory Maslach
Burnout Measure Pines Aronson,Burnout Measure Pines Aronson
Burodiline,Burodiline
Bursaphelenchus,Bursaphelenchus
Bursaphelenchus xylophilus,Bursaphelenchus xylophilus
Bursaphelenchus lignicolus,Bursaphelenchus xylophilus
Bursectomy,Bursectomy
Burseraceae,Burseraceae
Bursitis,Bursitis
Burundi,Burundi
Optical bus,Optical bus
Field bus,Field bus
Nozzle,Nozzle
Cutting nozzle,Cutting nozzle
Injection nozzle,Injection nozzle
Welding nozzle,Welding nozzle
Buserelin,Buserelin
Teeming nozzle,Teeming nozzle
Slide gate nozzle,Slide gate nozzle
Buspirone,Buspirone
Busseola fusca,Busseola fusca
Busulfan,Busulfan
Busulphan,Busulfan
Busycon canaliculatum,Busycon canaliculatum
1 2-Butadiene copolymer,1 2-Butadiene copolymer
1 2-Butadiene polymer,1 2-Butadiene polymer
1 3-Butadiene,1 3-Butadiene
Butadiene-1 4 copolymer,Butadiene-1 4 copolymer
1 4-Butadiene polymer,1 4-Butadiene polymer
Butacaine,Butacaine
Butaclamol,Butaclamol
Butadiazamide,Butadiazamide
Butadiene,Butadiene
Butadiene(carboxy) copolymer,Butadiene(carboxy) copolymer
Butadiene(carboxy) polymer,Butadiene(carboxy) polymer
Butadiene copolymer,Butadiene copolymer
Butadiene derivatives,Butadiene derivatives
Butadiene derivative copolymer,Butadiene derivative copolymer
Butadiene derivative polymer,Butadiene derivative polymer
Butadiene(hydroxy) copolymer,Butadiene(hydroxy) copolymer
Butadiene(hydroxy) polymer,Butadiene(hydroxy) polymer
Butadiene polymer,Butadiene polymer
Butafosfan,Butafosfan
Butalamine,Butalamine
Butalbital,Butalbital
Alisobumalum,Butalbital
Allylbarbital,Butalbital
Itobarbital,Butalbital
Tetrallobarbital,Butalbital
Butamben,Butamben
Butyl aminobenzoate,Butamben
Butylcaine,Butamben
Butamirate,Butamirate
Butamyrate,Butamirate
Butamisole,Butamisole
Butamoxane,Butamoxane
2-Butanone,2-Butanone
2-Butanone(3-hydroxy),2-Butanone(3-hydroxy)
Butanal,Butanal
Butanal dehydrogenase,Butanal dehydrogenase
EC 1−2−1−57,Butanal dehydrogenase
EC 1.2.1.57,Butanal dehydrogenase
Butane,Butane
Butane derivatives,Butane derivatives
Butanilicaine,Butanilicaine
Butacetoluide,Butanilicaine
Butanixin,Butanixin
Butanol,Butanol
Butanol derivatives,Butanol derivatives
Butanserin,Butanserin
Butantrone,Butantrone
Butaperazine,Butaperazine
Butyrylperazine,Butaperazine
Butaprost,Butaprost
Butaverine,Butaverine
Butamiverine,Butaverine
Butaxamine,Butaxamine
Stop,Stop
Cotyle bolt,Cotyle bolt
Passive earth pressure,Passive earth pressure
Butenafine,Butenafine
Butene,Butene
Butylene derivative copolymer,Butylene derivative copolymer
Butene derivatives,Butene derivatives
Butene derivative copolymer,Butene derivative copolymer
Butene derivative polymer,Butene derivative polymer
Butene oxide copolymer,Butene oxide copolymer
Butene oxide polymer,Butene oxide polymer
Butylene polymer,Butylene polymer
Butene sulfide copolymer,Butene sulfide copolymer
Butene sulfide polymer,Butene sulfide polymer
Butene terephthalate copolymer,Butene terephthalate copolymer
Butene terephthalate polymer,Butene terephthalate polymer
Buteo buteo,Buteo buteo
Buteo jamaicensis,Buteo jamaicensis
Buteprate,Buteprate
Buterizine,Buterizine
Butetamate,Butetamate
Abuphenine,Butetamate
Butethamate,Butetamate
Butetamatum,Butetamate
Diphenamine,Butetamate
Phenetin,Butetamate
Buthalital sodium,Buthalital sodium
Scorpionides,Scorpionides
Buthus eupeus,Buthus eupeus
Buthus occitanus,Buthus occitanus
Butibufen,Butibufen
Butidrine,Butidrine
Butikacin,Butikacin
Butilfenin,Butilfenin
Flower visiting,Flower visiting
Butinazocine,Butinazocine
Butinoline,Butinoline
Butirosin,Butirosin
Butixirate,Butixirate
Butixocort,Butixocort
Butizide,Butizide
Buthiazide,Butizide
Isobutylhydrochlorothiazide,Butizide
Thiabutazide,Butizide
Butobarbital,Butobarbital
Butobarbitone,Butobarbital
Butenil,Butobarbital
Butethal,Butobarbital
Butobendine,Butobendine
Butoconazole,Butoconazole
Butocrolol,Butocrolol
Butoctamide,Butoctamide
Butofilolol,Butofilolol
Butomaceae,Butomaceae
Butonate,Butonate
Butopamine,Butopamine
Butopiprine,Butopiprine
Butoprozine,Butoprozine
Butorphanol,Butorphanol
Butoxylate,Butoxylate
Butriptyline,Butriptyline
Butterkaese,Butterkaese
Butylamine,Butylamine
Hyoscine butylbromide,Hyoscine butylbromide
Scopolamine butylbromide,Hyoscine butylbromide
Dibutylether,Dibutylether
Butynamine,Butynamine
Dimethyl butynedioate,Dimethyl butynedioate
Butyrate,Butyrate
Butyrate-acetoacetate CoA-transferase,Butyrate-acetoacetate CoA-transferase
EC 2−8−3−9,Butyrate-acetoacetate CoA-transferase
EC 2.8.3.9,Butyrate-acetoacetate CoA-transferase
Butyrate-CoA ligase,Butyrate-CoA ligase
EC 6−2−1−2,Butyrate-CoA ligase
Butyryl-CoA synthetase,Butyrate-CoA ligase
Fatty acid thiokinase (medium chain),Butyrate-CoA ligase
EC 6.2.1.2,Butyrate-CoA ligase
Dioxaphetyl butyrate,Dioxaphetyl butyrate
Butyrate(hydroxy) copolymer,Butyrate(hydroxy) copolymer
Butyrate(hydroxy)polymer,Butyrate(hydroxy)polymer
Butyrate kinase,Butyrate kinase
EC 2−7−2−7,Butyrate kinase
EC 2.7.2.7,Butyrate kinase
Butyric acid,Butyric acid
Butyric derivative copolymer,Butyric derivative copolymer
Butyric derivative polymer,Butyric derivative polymer
Butyrivibrio,Butyrivibrio
Butyrivibrio crossotus,Butyrivibrio crossotus
Butyrivibrio fibrisolvens,Butyrivibrio fibrisolvens
Butyrometer,Butyrometer
Butyrophenone derivatives,Butyrophenone derivatives
Butyryl-CoA dehydrogenase,Butyryl-CoA dehydrogenase
EC 1−3−99−2,Butyryl-CoA dehydrogenase
Butyryl dehydrogenase,Butyryl-CoA dehydrogenase
Unsaturated acyl-CoA reductase,Butyryl-CoA dehydrogenase
EC 1.3.99.2,Butyryl-CoA dehydrogenase
Social drinker,Social drinker
Buxaceae,Buxaceae
Buxus,Buxus
Buxus balearica,Buxus balearica
Buxus japonica,Buxus japonica
Buxus sempervirens,Buxus sempervirens
Byblidaceae,Byblidaceae
Bymovirus,Bymovirus
Potyviridae,Potyviridae
Byrsonima coriacea,Byrsonima coriacea
Malpighiaceae,Malpighiaceae
Byssinosis,Byssinosis
Byssochlamic acid,Byssochlamic acid
Byssochlamys,Byssochlamys
Byssochlamys fulva,Byssochlamys fulva
Byssochlamys nivea,Byssochlamys nivea
Byssus,Byssus
Byturidae,Byturidae
Byturus tomentosus,Byturus tomentosus
C star algebra,C star algebra
C-Glycoside,C-Glycoside
C-Nucleoside,C-Nucleoside
C syndrome,C syndrome
Ca2+/calmodulin-dependent protein kinase,Ca2+/calmodulin-dependent protein kinase
EC 2−7−11-17,Ca2+/calmodulin-dependent protein kinase
Ca2+/calmodulin-dependent microtubule-associated protein 2 kinase,Ca2+/calmodulin-dependent protein kinase
EC 2.7.11.17,Ca2+/calmodulin-dependent protein kinase
Ca2+-transporting ATPase,Ca2+-transporting ATPase
EC 3−6−3-8,Ca2+-transporting ATPase
Calcium pump,Ca2+-transporting ATPase
Ca Mg-ATPase,Ca2+-transporting ATPase
EC 3.6.3.8,Ca2+-transporting ATPase
Ca(2+)-transporting ATPase,Ca2+-transporting ATPase
Calcium-translocating P-type ATPase,Ca2+-transporting ATPase
Calcium-transporting ATPase,Ca2+-transporting ATPase
Id,Id
Cabastine,Cabastine
Cabergoline,Cabergoline
Cabernet,Cabernet
Cod,Cod
Cabin,Cabin
Shower compartment,Shower compartment
Ship cabin,Ship cabin
Telephone booth,Telephone booth
Group practice,Group practice
Doctor office,Doctor office
Wiring,Wiring
Cable,Cable
Aerial cable,Aerial cable
Aluminum cable,Aluminum cable
Aluminum cable steel reinforced,Aluminum cable steel reinforced
Tyre cord,Tyre cord
Coaxial cable,Coaxial cable
Leakage coaxial cable,Leakage coaxial cable
Cryogenic cable,Cryogenic cable
Prestressing tendon,Prestressing tendon
Electrical cable,Electrical cable
Electrodynamic tether,Electrodynamic tether
Aluminium sheathed cable,Aluminium sheathed cable
Metal sheathed cable,Metal sheathed cable
Plastic sheathed cable,Plastic sheathed cable
Lead sheathed cable,Lead sheathed cable
Earth wire,Earth wire
High voltage cable,High voltage cable
Oil filled cable,Oil filled cable
Gas insulated cable,Gas insulated cable
Paper insulated cable,Paper insulated cable
Plastic insulated cable,Plastic insulated cable
Solid insulated cable,Solid insulated cable
Insulated cable,Insulated cable
Wire rope,Wire rope
Concentric neutral conductor cable,Concentric neutral conductor cable
Optical cable,Optical cable
Symmetric twin cable,Symmetric twin cable
Flat cable,Flat cable
Flexible cable,Flexible cable
Underwater cable,Underwater cable
Pressure cable,Pressure cable
Pipe cable,Pipe cable
Underground cable,Underground cable
Superconducting cable,Superconducting cable
Telecommunication cable,Telecommunication cable
Stressed cable,Stressed cable
Twisted cable,Twisted cable
Coastal trade,Coastal trade
Chemical Abstracts Condensates,Chemical Abstracts Condensates
Peanut,Peanut
Cocoa,Cocoa
Instant cocoa,Instant cocoa
Cocoa by product,Cocoa by product
Sperm whale,Sperm whale
Cachexia,Cachexia
Caciocavallo,Caciocavallo
Cacodylic acid,Cacodylic acid
Dimethylarsinic acid,Cacodylic acid
Cacopsylla pyri,Cacopsylla pyri
Psylla pyri,Cacopsylla pyri
Psylla piri,Cacopsylla pyri
Psyllidae,Psyllidae
Cacopsylla pyricola,Cacopsylla pyricola
Psylla pyricola,Cacopsylla pyricola
Cacopsylla pyrisuga,Cacopsylla pyrisuga
Psylla pyrisuga,Cacopsylla pyrisuga
Cactaceae,Cactaceae
Cactinomycin,Cactinomycin
Actinomycin C,Cactinomycin
Cadang cadang,Cadang cadang
CADASIL syndrome,CADASIL syndrome
Land registration,Land registration
Cadaverine,Cadaverine
Cadaver,Cadaver
Cadexomer,Cadexomer
Cadherin,Cadherin
E Cadherin,E Cadherin
Cadmium coating,Cadmium coating
Cadmium,Cadmium
Cadmium alloy,Cadmium alloy
Cadmium aluminate,Cadmium aluminate
Cadmium boride,Cadmium boride
Cadmium bromide,Cadmium bromide
Cadmium carbonate,Cadmium carbonate
Cadmium carbide,Cadmium carbide
Cadmium chloride,Cadmium chloride
Cadmium complex,Cadmium complex
Cadmium compound,Cadmium compound
Cadmium fluoride,Cadmium fluoride
Cadmium hydroxide,Cadmium hydroxide
Cadmium hydride,Cadmium hydride
Cadmium II,Cadmium II
Cadmium iodide,Cadmium iodide
Cadmium ion,Cadmium ion
Cadmium nitrate,Cadmium nitrate
Cadmium nitride,Cadmium nitride
Cadmium oxide,Cadmium oxide
Cadmium phosphate,Cadmium phosphate
Cadmium phosphide,Cadmium phosphide
Cadmium silicate,Cadmium silicate
Cadmium silicide,Cadmium silicide
Cadmium sulfate,Cadmium sulfate
Cadmium sulfide,Cadmium sulfide
Cadralazine,Cadralazine
Frame,Frame
Reinforcing cage,Reinforcing cage
Manager,Manager
Open reading frame,Open reading frame
Structural frame,Structural frame
Therapeutic framework,Therapeutic framework
Cadrofloxacin,Cadrofloxacin
Cecopexy,Cecopexy
Cecostomy,Cecostomy
Cecum,Cecum
Digestive cecum,Digestive cecum
Caecum mobile,Caecum mobile
Pyloric cecum,Pyloric cecum
Caedibacter,Caedibacter
Caedibacter conjugatus,Caedibacter conjugatus
Particuleμ(bactérie),Caedibacter conjugatus
Caedibacter falsus,Caedibacter falsus
Particuleν(bactérie),Caedibacter falsus
Caedibacter minutus,Caedibacter minutus
Particuleγ(bactérie),Caedibacter minutus
Caedibacter paraconjugatus,Caedibacter paraconjugatus
Caedibacter taeniospiralis,Caedibacter taeniospiralis
Particuleκ(bactérie),Caedibacter taeniospiralis
Caenorhabditis,Caenorhabditis
Caenorhabditis briggsae,Caenorhabditis briggsae
Caenorhabditis elegans,Caenorhabditis elegans
Caerphilly,Caerphilly
Cafaminol,Cafaminol
Methylcoffanolamin,Cafaminol
Coffee,Coffee
Cafe bar,Cafe bar
Decaffeinated coffee,Decaffeinated coffee
Ground coffee,Ground coffee
Instant coffee,Instant coffee
Roasted coffee,Roasted coffee
Roast coffee,Roasted coffee
Green coffee,Green coffee
Cafedrine,Cafedrine
Caffeine,Caffeine
Guaranin,Caffeine
Methyltheobromin,Caffeine
Thein,Caffeine
Caffeic acid,Caffeic acid
Caffeate 3 4-dioxygenase,Caffeate 3 4-dioxygenase
EC 1−13−11−22,Caffeate 3 4-dioxygenase
EC 1.13.11.22,Caffeate 3 4-dioxygenase
Caffeate O-methyltransferase,Caffeate O-methyltransferase
EC 2−1−1−68,Caffeate O-methyltransferase
EC 2.1.1.68,Caffeate O-methyltransferase
Caffeine Knowledge Test,Caffeine Knowledge Test
Caffeoyl-CoA O-methyltransferase,Caffeoyl-CoA O-methyltransferase
EC 2−1−1−104,Caffeoyl-CoA O-methyltransferase
EC 2.1.1.104,Caffeoyl-CoA O-methyltransferase
Cage,Cage
Elevator shaft,Elevator shaft
Double duo stand,Double duo stand
Two high stand,Two high stand
Stair well,Stair well
Faraday cage,Faraday cage
Finishing roll stand,Finishing roll stand
Roll stand,Roll stand
Cantilever roll stand,Cantilever roll stand
Prestressed roll stand,Prestressed roll stand
Four high stand,Four high stand
CAGE Questionnaire Mayfield et al,CAGE Questionnaire Mayfield et al
Bearing cage,Bearing cage
Housingless roll stand,Housingless roll stand
Three high stand,Three high stand
Contract specifications,Contract specifications
Supplementary general conditions,Supplementary general conditions
Technical general contract conditions,Technical general contract conditions
Contract bill clause,Contract bill clause
Quail,Quail
Curd,Curd
Cheese curd,Cheese curd
Clot,Clot
Pebble(geol),Pebble(geol)
Caiman crocodilus,Caiman crocodilus
Packing case,Packing case
Suction box,Suction box
Head box,Head box
Cash register,Cash register
Caisson,Caisson
Foundation caisson,Foundation caisson
Cajanus,Cajanus
Cajanus cajan,Cajanus cajan
Cajanus indicus,Cajanus cajan
Callus,Callus
Mal union,Mal union
Calabria,Calabria
Carbon depositing,Carbon depositing
Oxide scale,Oxide scale
Calendering,Calendering
Calender,Calender
Calanoida,Calanoida
Calanoidea,Calanoida
Calanus finmarchicus,Calanus finmarchicus
Calanus glacialis,Calanus glacialis
Calanus hyperboreus,Calanus hyperboreus
Calanus pacificus,Calanus pacificus
Limestone,Limestone
Algal limestone,Algal limestone
Asphalt limestone,Asphalt limestone
Bioclastic limestone,Bioclastic limestone
Bituminous limestone,Bituminous limestone
Crystalline limestone,Crystalline limestone
Fine limestone,Fine limestone
Lithoclastic limestone,Lithoclastic limestone
Lithographic limestone,Lithographic limestone
Calcaneocuboid,Calcaneocuboid
Calcaneum,Calcaneum
Calcarenite,Calcarenite
Calcemia,Calcemia
Calcidiol 1-monooxygenase,Calcidiol 1-monooxygenase
EC 1−14−13−13,Calcidiol 1-monooxygenase
25-Hydroxycholecalciferol 1-monooxygenase,Calcidiol 1-monooxygenase
25-Hydroxycholecalciferol 1-hydroxylase,Calcidiol 1-monooxygenase
EC 1.14.13.13,Calcidiol 1-monooxygenase
Calcifediol,Calcifediol
Calciferol,Calciferol
Calcification,Calcification
Monckeberg arteriosclerosis,Monckeberg arteriosclerosis
Calcification of basel ganglia,Calcification of basel ganglia
Calcimycin,Calcimycin
A-23187,Calcimycin
Cullet,Cullet
Calcining,Calcining
Calcineurin,Calcineurin
Calcinosis,Calcinosis
Calcinosis circumscripta,Calcinosis circumscripta
Calciphylaxis,Calciphylaxis
Calcipotriol,Calcipotriol
Calcisols,Calcisols
Calcite,Calcite
Calcitonin,Calcitonin
Salcatonin,Calcitonin
Thyrocalcitonin,Calcitonin
Human calcitonin,Human calcitonin
Porcine calcitonin,Porcine calcitonin
Salmon calcitonin,Salmon calcitonin
Calcitriol,Calcitriol
Calcium,Calcium
Calcium alloy,Calcium alloy
Calcium aluminate,Calcium aluminate
Calcium boride,Calcium boride
Calcium bromide,Calcium bromide
Calcium carbonate,Calcium carbonate
Calcium carbide,Calcium carbide
Calcium chloride,Calcium chloride
Calcium complex,Calcium complex
Calcium compound,Calcium compound
Sodium calcium edetate,Sodium calcium edetate
Calcium fluoride,Calcium fluoride
Calcium hydroxide,Calcium hydroxide
Calcium hydride,Calcium hydride
Calcium iodide,Calcium iodide
Calcium ion,Calcium ion
Calcium nitrate,Calcium nitrate
Calcium nitride,Calcium nitride
Calcium oxide,Calcium oxide
Calcium phosphate,Calcium phosphate
Calcium phosphide,Calcium phosphide
Calcium silicate,Calcium silicate
Calcium silicide,Calcium silicide
Calcium sulfate,Calcium sulfate
Calcium sulfide,Calcium sulfide
Calciuria,Calciuria
Urinary calcium,Calciuria
Calcobutrol,Calcobutrol
Calculation,Calculation
Limit design,Limit design
Analog calculus,Analog calculus
APW calculation,APW calculation
Augmented plane wave method,APW calculation
Augmented plane wave calculation,APW calculation
Computing,Computing
Biliary stone,Biliary stone
Calcium calculus,Calcium calculus
Pavement analysis,Pavement analysis
Cholesterol gallstone,Cholesterol gallstone
Structural design,Structural design
Implicit construction calculus (computer science),Implicit construction calculus (computer science)
Inductive construction calculus (computer science),Inductive construction calculus (computer science)
Staghorn calculus,Staghorn calculus
CPA calculation,CPA calculation
Coherent potential approximation,CPA calculation
Cystin calculus,Cystin calculus
Difference calculus,Difference calculus
Dyadic calculus,Dyadic calculus
Lighting calculation,Lighting calculation
Economic calculation,Economic calculation
Error analysis,Error analysis
Computer algebra,Computer algebra
Fractional calculus,Fractional calculus
Graphical calculation,Graphical calculation
Hybrid calculation,Hybrid calculation
Milk of calcium,Milk of calcium
Malliavin calculus,Malliavin calculus
Matrix calculus,Matrix calculus
Numerical computation,Numerical computation
Operational calculus,Operational calculus
Optical computing,Optical computing
Retained biliary stone,Retained biliary stone
Oxalate calculus,Oxalate calculus
Parallel computation,Parallel computation
Earthquake analysis,Earthquake analysis
Stone (medicine),Stone (medicine)
Predicate calculus,Predicate calculus
Cost planning,Cost planning
Theory of probabilities,Theory of probabilities
Propositional calculus,Propositional calculus
Quantum computation,Quantum computation
Distributed computing,Distributed computing
Benchmark calculation,Benchmark calculation
Benchmark analysis,Benchmark calculation
Residue calculus,Residue calculus
Silica calculus,Silica calculus
Statistical computation,Statistical computation
Stochastic calculus,Stochastic calculus
Symbolic computation,Symbolic computation
Tensor calculus,Tensor calculus
Urinary stone,Urinary stone
Urinary calculi,Urinary stone
Uric acid calculus,Uric acid calculus
Variational calculus,Variational calculus
VB calculation,VB calculation
Valence bond method,VB calculation
Valence bond calculation,VB calculation
Vector calculus,Vector calculus
Xanthin calculus,Xanthin calculus
Computability,Computability
Calculator,Calculator
Analog computer,Analog computer
Desk computer,Desk computer
Boarded computer,Boarded computer
Hybrid computer,Hybrid computer
MIMD computer,MIMD computer
Pocket calculator,Pocket calculator
Process computer,Process computer
SIMD computer,SIMD computer
Special purpose computer,Special purpose computer
Calderas,Calderas
Caldesmon kinase,Caldesmon kinase
EC 2−7−1−120,Caldesmon kinase
Caldesmon,Caldesmon kinase
Caldesmone,Caldesmon kinase
EC 2.7.1.120,Caldesmon kinase
Caldesmon-phosphatase,Caldesmon-phosphatase
EC 3−1−3−55,Caldesmon-phosphatase
EC 3.1.3.55,Caldesmon-phosphatase
Caldiamide,Caldiamide
Dry dock,Dry dock
Thickness compensation,Thickness compensation
Slipway,Slipway
Spacer,Spacer
Gauge block,Gauge block
Hold,Hold
Calabash,Calabash
Caledia captiva,Caledia captiva
Vaccination schedule,Vaccination schedule
Calendula officinalis,Calendula officinalis
Cales noacki,Cales noacki
Calf thymus ribonuclease H,Calf thymus ribonuclease H
EC 3−1−26−4,Calf thymus ribonuclease H
RNase H,Calf thymus ribonuclease H
Endoribonuclease H (calf thymus),Calf thymus ribonuclease H
Ribonuclease H,Calf thymus ribonuclease H
EC 3.1.26.4,Calf thymus ribonuclease H
Filling (jointing),Filling (jointing)
Calipering,Calipering
